NrSiblings,MathScore,ReadingScore,WritingScore,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_completed,TestPrep_none,ParentMaritalStatus_divorced,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,TransportMeans_private,TransportMeans_school_bus
3,71,71,74,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
0,69,90,88,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
4,87,93,91,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
1,45,56,42,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False
0,76,78,75,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,73,84,79,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
1,85,93,89,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
1,41,43,39,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
3,65,64,68,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
2,37,59,50,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
1,58,54,52,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1,40,52,43,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True
1,66,82,74,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1,80,73,71,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False
2,48,53,58,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False
0,69,75,78,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
0,88,89,86,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
1,18,32,28,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
1,46,42,47,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
3,50,56,58,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
5,66,69,63,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
2,65,75,70,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
5,42,53,51,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
3,66,71,71,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
2,74,71,80,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,75,76,76,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
5,66,53,53,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
4,69,70,76,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,70,70,65,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
0,66,72,72,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
5,63,65,61,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
1,56,73,66,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
2,40,42,38,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False
0,97,87,82,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True
2,81,81,79,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True
2,76,82,85,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
1,51,64,60,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
1,77,91,90,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
5,58,56,58,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True
0,53,60,52,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
1,59,74,69,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
3,60,65,67,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
5,48,55,52,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
3,63,53,55,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True
2,67,72,77,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
3,82,84,82,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False
3,54,55,48,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
2,76,68,68,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
3,56,45,43,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
2,88,78,75,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True
2,75,86,90,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
2,33,41,43,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False
3,84,86,87,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True
2,52,55,49,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
1,61,60,60,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
3,0,17,10,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2,39,39,34,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
5,62,61,55,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False
0,59,58,59,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
1,63,62,58,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
4,45,37,37,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
3,61,73,75,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
