ParentEduc,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,MathScore,ReadingScore,WritingScore,Overall_Score,Grades,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_completed,TestPrep_none,ParentMaritalStatus_divorced,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,TransportMeans_private,TransportMeans_school_bus
2,2,2,3,1,71,71,74,72.0,2,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
5,3,2,0,0,69,90,88,82.33,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
4,3,2,4,1,87,93,91,90.33,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
1,1,1,1,0,45,56,42,47.67,4,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False
5,3,2,0,0,76,78,75,76.33,2,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,2,2,1,0,73,84,79,78.67,2,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
5,1,1,1,0,85,93,89,89.0,1,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
5,3,2,1,2,41,43,39,41.0,4,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
3,3,1,3,2,65,64,68,65.67,3,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
3,2,2,2,1,37,59,50,48.67,4,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
1,3,2,1,0,58,54,52,54.67,4,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1,3,2,1,0,40,52,43,45.0,4,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True
3,2,1,1,0,66,82,74,74.0,2,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
5,3,2,1,2,80,73,71,74.67,2,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False
4,3,2,2,1,48,53,58,53.0,4,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False
6,3,2,0,3,69,75,78,74.0,2,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
3,3,2,0,0,88,89,86,87.67,1,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
6,3,2,1,0,18,32,28,26.0,4,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
4,3,1,1,0,46,42,47,45.0,4,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,1,2,3,1,50,56,58,54.67,4,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
3,3,2,5,0,66,69,63,66.0,3,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
5,3,1,2,0,65,75,70,70.0,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
0,1,2,5,0,42,53,51,48.67,4,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
6,1,1,3,0,66,71,71,69.33,3,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
0,3,2,2,0,74,71,80,75.0,2,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
4,2,2,1,0,75,76,76,75.67,2,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
5,3,2,5,1,66,53,53,57.33,4,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
2,3,2,4,2,69,70,76,71.67,2,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
3,3,1,1,0,70,70,65,68.33,3,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
5,3,2,0,1,66,72,72,70.0,2,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
5,3,2,5,0,63,65,61,63.0,3,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
4,3,2,1,0,56,73,66,65.0,3,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
5,3,1,2,0,40,42,38,40.0,4,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False
5,3,2,0,3,97,87,82,88.67,1,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True
1,3,1,2,0,81,81,79,80.33,1,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True
1,2,1,2,0,76,82,85,81.0,1,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
6,2,2,1,0,51,64,60,58.33,4,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
1,2,1,1,0,77,91,90,86.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,2,2,5,0,58,56,58,57.33,4,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True
1,1,2,0,0,53,60,52,55.0,4,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
1,2,1,1,0,59,74,69,67.33,3,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
5,2,2,3,0,60,65,67,64.0,3,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,3,2,5,1,48,55,52,51.67,4,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
1,3,2,3,1,63,53,55,57.0,4,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True
3,2,2,2,0,67,72,77,72.0,2,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
3,3,0,3,0,82,84,82,82.67,1,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False
5,0,1,3,2,54,55,48,52.33,4,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
1,2,1,2,1,76,68,68,70.67,2,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
5,2,2,3,2,56,45,43,48.0,4,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
3,3,2,2,0,88,78,75,80.33,1,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True
6,2,2,2,2,75,86,90,83.67,1,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
