name,instructor,description,provider,level,duration,price,link,rating,reviews
Bachelor of Science in Computer Science,,"This is your path to a career in cybersecurity. In this certificate program, youâll learn in-demand skills that can have you job-ready in less than 6 months. No degree or experience required.","Birla Institute of Technology & Science, Pilani","This is your path to a career in cybersecurity. In this certificate program, youâll learn in-demand skills that can have you job-ready in less than 6 months. No degree or experience required.",N/A,,https://www.coursera.org/professional-certificates/google-cybersecurity,N/A,"(13,342 reviews)"
Master of Science in Computer Science,,"This is your path to a career in data analytics. In this program, youâll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",Ball State University,"This is your path to a career in data analytics. In this program, youâll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",N/A,,https://www.coursera.org/professional-certificates/google-data-analytics,N/A,"(127,220 reviews)"
Bachelor of Science in Cybersecurity Management and Policy,,"Start your path to a career in project management. In this program, youâll learn in-demand skills that will have you job-ready in less than six months. No degree or experience is required.",University of Maryland Global Campus,"Start your path to a career in project management. In this program, youâll learn in-demand skills that will have you job-ready in less than six months. No degree or experience is required.",N/A,,https://www.coursera.org/professional-certificates/google-project-management,N/A,"(92,513 reviews)"
Bachelor of Science in Cybersecurity Management and Policy,,Prepare for a career as a data scientist. Develop in-demand skills and hands-on experience to get job-ready in as little as 5 months. No prior experience required.,University of Maryland Global Campus,Prepare for a career as a data scientist. Develop in-demand skills and hands-on experience to get job-ready in as little as 5 months. No prior experience required.,N/A,,https://www.coursera.org/professional-certificates/ibm-data-science,N/A,"(67,404 reviews)"
Bachelor of Science in Cybersecurity Management and Policy,,"This is your path to a career in digital marketing. In this program, youâll learn in-demand skills that can have you job-ready in less than 6 months. No degree or experience required.",University of Maryland Global Campus,"This is your path to a career in digital marketing. In this program, youâll learn in-demand skills that can have you job-ready in less than 6 months. No degree or experience required.",N/A,,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,N/A,"(19,400 reviews)"
Bachelor of Science in Cybersecurity Management and Policy,,"This is your path to a career in IT. In this program, youâll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",University of Maryland Global Campus,"This is your path to a career in IT. In this program, youâll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",N/A,,https://www.coursera.org/professional-certificates/google-it-support,N/A,"(168,878 reviews)"
Bachelor of Science in Cybersecurity Management and Policy,,Prepare for a career as a data analyst. Gain the in-demand skills and hands-on experience to get job-ready in as little as 4 months. No prior experience required.,University of Maryland Global Campus,Prepare for a career as a data analyst. Gain the in-demand skills and hands-on experience to get job-ready in as little as 4 months. No prior experience required.,N/A,,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,"(16,153 reviews)"
Bachelor of Applied Arts and Sciences,,"This is your path to a career in UX design. In this program, youâll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",University of North Texas,"This is your path to a career in UX design. In this program, youâll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",N/A,,https://www.coursera.org/professional-certificates/google-ux-design,N/A,"(70,188 reviews)"
N/A,,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",N/A,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",N/A,,https://www.coursera.org/specializations/machine-learning-introduction,N/A,"(18,204 reviews)"
N/A,,"Launch your DevOps and Software Engineering Career. Master DevOps, Agile, Scrum, CI/CD and Cloud Native with hands-on job-ready skills.",N/A,"Launch your DevOps and Software Engineering Career. Master DevOps, Agile, Scrum, CI/CD and Cloud Native with hands-on job-ready skills.",N/A,,https://www.coursera.org/professional-certificates/devops-and-software-engineering,N/A,"(2,658 reviews)"
Bachelor of Arts in Psychology,,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science.,University of Massachusetts Global,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science.,N/A,,https://www.coursera.org/specializations/introduction-data-science,N/A,"(12,295 reviews)"
Bachelor of Applied Arts and Sciences,,Prepare for a career as a full stack developer. Gain the in-demand skills and hands-on experience to get job-ready in less than 4 months. No prior experience required.,University of North Texas,Prepare for a career as a full stack developer. Gain the in-demand skills and hands-on experience to get job-ready in less than 4 months. No prior experience required.,N/A,,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,N/A,"(4,853 reviews)"
